pitch_type,start_speed,pfx_x,pfx_z
FF,96.9,3.41,12.48
FF,96.5,1.04,10.39
FF,96.3,0.3,12.16
FF,96.2,2.43,13.07
FF,96.2,0.98,13.09
FF,96.2,4.13,10.28
FF,96,0.98,11.9
FF,96,3.58,13.29
FF,96,2.11,12.09
FF,96,1.34,12.84
FF,95.9,-0.79,9.16
FF,95.9,-0.816,12.132
FF,95.9,1.877,10.397
FF,95.8,0.27,12.85
FF,95.8,0.99,14.42
FF,95.7,1.15,10.97
FF,95.6,0.3,11.08
FF,95.6,0.76,12.47
FF,95.6,4.82,11.35
FF,95.5,0.54,13.199
FF,95.5,-0.24,12.4
FF,95.5,2.2,12.48
FF,95.5,-1.1,10.7
FF,95.5,0.28,13.73
FF,95.5,3.24,9.48
FF,95.5,2.13,13.84
FF,95.5,1.81,12.54
FF,95.5,1.97,10.65
FF,95.5,0.27,10.73
FF,95.4,1.62,11.44
FF,95.4,0.797,11.173
FF,95.4,1.61,11
FF,95.4,-0.64,11.01
FF,95.4,-0.296,8.488
FF,95.4,0.015,10.802
FF,95.4,2.228,12.037
FF,95.4,2.936,10.384
FF,95.4,2.194,8.835
FF,95.4,-0.11,9.53
FF,95.3,0.63,12.15
FF,95.3,0.19,10.36
FF,95.3,0.01,12.7
FF,95.3,1.99,12.21
FF,95.3,2.69,14
FF,95.3,0.58,10.54
FF,95.3,1.652,11.887
FF,95.3,0.74,7.99
FF,95.3,0.6,9.3
FF,95.2,2.1,9.73
FF,95.2,-1.93,12.63
FF,95.2,1.22,13.01
FF,95.2,0.77,11.83
FF,95.2,1.17,12.47
FF,95.2,-0.67,11.57
FF,95.2,2.82,14.53
FF,95.2,2.58,11.72
FF,95.2,0.8,11.42
FF,95.2,1.27,8.12
FF,95.2,1.99,11.26
FF,95.2,1.42,9.58
FF,95.1,1.83,10.49
FF,95.1,-0.03,8.12
FF,95.1,-0.98,9.261
FF,95.1,-0.73,11.83
FF,95.1,1.37,12.25
FF,95.1,-0.26,10.12
FF,95.1,1.11,11.995
FF,95.1,3.94,11.12
FF,95.1,3.96,11.38
FF,95.1,0.33,10.88
FF,95.1,1.19,9.4
FF,95.1,1.09,15.6
FF,95.1,2.24,13.84
FF,95.1,4.47,12.217
FF,95.1,0.16,10.82
FF,95.1,-0.26,9.7
FF,95.1,1.29,9.7
FF,95.1,1.69,10.63
FF,95,-0.19,9.7
FF,95,-1.71,10.18
FF,95,1.04,12.3
FF,95,-0.77,11.51
FF,95,-1.02,9.748
FF,95,-0.358,10.452
FF,95,0.18,10.42
FF,95,2.07,12.04
FF,95,0,12.13
FF,95,-1.66,14.22
FF,95,0.41,11.47
FF,95,2.002,9.789
FF,95,3.68,11.12
FF,95,0.13,13.2
FF,95,3.32,9.58
FF,95,1.7,12.16
FF,95,0.39,12.84
FF,95,0.57,11.91
FF,95,-0.23,10.04
FF,95,-0.42,10.74
FF,95,2.614,11.257
FF,95,3.283,10.604
FF,95,2.009,10.12
FF,95,0.92,11.24
FF,95,1.27,10.85
FF,95,3.04,10.82
FF,95,1.85,10.48
FF,95,1.36,10.77
FF,95,-0.48,12.31
FF,94.9,-0.79,9.09
FF,94.9,-1.34,10.1
FF,94.9,0.225,12.239
FF,94.9,2.13,12.78
FF,94.9,-2.54,13.5
FF,94.9,-0.753,11.011
FF,94.9,0.571,8.225
FF,94.9,2.205,10.246
FF,94.9,3.11,11.8
FF,94.9,3.7,11.69
FF,94.9,0.2,11.78
FF,94.9,-0.97,14.08
FF,94.9,2.18,13.26
FF,94.9,1.58,14.08
FF,94.9,1.67,12.67
FF,94.9,1.51,15.52
FF,94.9,1.6,12.63
FF,94.9,-0.77,15.35
FF,94.9,0.38,11.38
FF,94.9,1.58,14.12
FF,94.9,-2,14.21
FF,94.9,4.608,9.573
FF,94.9,3.093,11.886
FF,94.9,1.29,11.91
FF,94.9,1.72,10.1
FF,94.9,-0.674,13.42
FF,94.9,0.58,10.38
FF,94.9,2.182,13.992
FF,94.9,-2.08,10.7
FF,94.9,1.55,10.53
FF,94.9,0.11,9.54
FF,94.8,0.59,12.44
FF,94.8,0.13,7.94
FF,94.8,0.7,8.86
FF,94.8,-2.793,10.654
FF,94.8,-0.356,10.278
FF,94.8,0.169,10.248
FF,94.8,2,11.46
FF,94.8,0.524,11.912
FF,94.8,-0.597,10.768
FF,94.8,2.628,9.068
FF,94.8,2.04,10.97
FF,94.8,3.85,12.09
FF,94.8,2.25,10.2
FF,94.8,-0.99,9.61
FF,94.8,2.71,15.06
FF,94.8,1.41,14.26
FF,94.8,-0.44,12
FF,94.8,4.02,14.46
FF,94.8,3.04,12.47
FF,94.8,1.14,12.6
FF,94.8,-0.78,11.61
FF,94.8,1.546,10.895
FF,94.8,1.554,11.193
FF,94.8,1.554,11.193
FF,94.8,2.128,11.718
FF,94.8,3.407,12.869
FF,94.8,3.075,9.379
FF,94.8,-0.22,9.43
FF,94.8,-0.012,8.847
FF,94.8,-1.007,11.531
FF,94.8,2.56,11.31
FF,94.8,0.9,8.68
FF,94.8,0.53,10.5
FF,94.8,-0.33,9.7
FF,94.8,1,13.87
